;t [min];t_seg [min];T [Åé];G' [Pa];G'' [Pa];|É≈*| [Pas];tan(É¬) [-];É¡ [%];É¬ [rad];É— [Pa];M [É Nm];----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|23;1.108;1.095;20.00;17.97;5.120;2.974;0.2849;0.4445;0.2776;0.08306;4.698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|24;1.157;1.144;20.00;17.98;5.139;2.976;0.2858;0.5426;0.2783;0.1015;5.739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|25;1.206;1.193;20.00;18.08;5.144;2.991;0.2846;0.6595;0.2772;0.1240;7.011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|26;1.254;1.240;20.00;18.05;5.218;2.990;0.2891;0.8061;0.2814;0.1514;8.565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|27;1.302;1.289;20.00;18.11;5.255;3.001;0.2901;0.9810;0.2824;0.1850;10.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|28;1.348;1.335;20.00;18.24;5.316;3.023;0.2915;1.190;0.2836;0.2260;12.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|29;1.394;1.380;20.00;18.34;5.351;3.040;0.2918;1.445;0.2839;0.2761;15.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|30;1.440;1.427;20.00;18.42;5.356;3.053;0.2907;1.758;0.2829;0.3372;19.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|31;1.487;1.474;20.00;18.53;5.330;3.069;0.2876;2.136;0.2800;0.4120;23.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|32;1.533;1.520;20.00;18.56;5.364;3.074;0.2890;2.605;0.2814;0.5033;28.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|33;1.579;1.566;20.00;18.57;5.359;3.077;0.2885;3.181;0.2809;0.6148;34.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|34;1.625;1.612;20.00;18.64;5.397;3.089;0.2895;3.870;0.2818;0.7511;42.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|35;1.671;1.658;20.00;18.68;5.412;3.096;0.2896;4.717;0.2819;0.9175;51.90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|36;1.718;1.705;20.00;18.76;5.416;3.108;0.2887;5.740;0.2810;1.121;63.40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|37;1.766;1.753;20.00;18.82;5.401;3.116;0.2870;6.994;0.2795;1.369;77.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|38;1.813;1.800;20.00;18.88;5.345;3.123;0.2831;8.524;0.2758;1.673;94.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|39;1.860;1.847;20.00;18.91;5.328;3.127;0.2817;10.40;0.2746;2.044;115.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|40;1.909;1.896;20.00;18.97;5.337;3.136;0.2814;12.67;0.2743;2.497;141.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|41;1.957;1.944;20.00;18.86;5.408;3.123;0.2867;15.54;0.2792;3.050;172.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|42;2.004;1.991;20.00;18.81;5.454;3.117;0.2900;19.03;0.2822;3.726;210.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|43;2.050;2.037;20.00;18.77;5.468;3.112;0.2913;23.28;0.2834;4.552;257.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|44;2.096;2.083;20.00;18.73;5.457;3.105;0.2914;28.51;0.2836;5.562;314.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|45;2.143;2.129;20.00;18.56;5.473;3.079;0.2949;35.12;0.2868;6.795;384.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|46;2.188;2.175;20.00;18.33;5.471;3.045;0.2984;43.40;0.2900;8.303;469.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|47;2.235;2.222;20.00;17.98;5.480;2.992;0.3047;53.97;0.2958;10.15;573.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|48;2.282;2.268;20.00;17.50;5.419;2.915;0.3097;67.70;0.3004;12.40;701.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|49;2.328;2.315;20.00;16.71;5.357;2.793;0.3206;86.37;0.3102;15.16;857.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|50;2.375;2.362;20.00;15.51;5.226;2.605;0.3370;113.3;0.3250;18.54;1048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|51;2.421;2.408;20.00;13.63;4.975;2.309;0.3651;156.4;0.3500;22.69;1283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|52;2.468;2.455;20.00;10.61;4.428;1.830;0.4172;242.1;0.3953;27.84;1575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|53;2.514;2.501;20.00;5.489;3.002;0.9957;0.5469;553.1;0.5005;34.61;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|54;2.561;2.548;20.00;0.7272;0.9500;0.1904;1.306;3867;0.9175;46.26;2616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|55;2.610;2.596;20.00;0.1546;0.4018;0.06853;2.598;11710;1.203;50.42;2852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|56;2.656;2.643;20.00;0.1375;0.3931;0.06628;2.859;14400;1.234;59.96;3391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|57;2.702;2.689;20.00;0.1517;0.3488;0.06053;2.299;19770;1.161;75.20;4253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|58;2.748;2.735;20.00;0.1005;0.2816;0.04759;2.801;26830;1.228;80.21;4537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|59;2.794;2.781;20.00;0.1091;0.2845;0.04849;2.606;32980;1.204;100.5;5684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|60;2.841;2.828;20.00;0.09442;0.3072;0.05115;3.254;37280;1.273;119.8;6777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|61;2.888;2.874;20.00;0.08901;0.2941;0.04890;3.304;46600;1.277;143.2;8098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|62;2.934;2.921;20.00;0.07061;0.2461;0.04075;3.486;61690;1.291;158.0;8935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|63;2.980;2.967;20.00;0.07730;0.2642;0.04380;3.417;73180;1.286;201.4;11390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|64;3.027;3.014;20.00;0.04933;0.2293;0.03733;4.648;91460;1.359;214.5;12130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|65;3.073;3.060;20.00;0.07068;0.2307;0.03840;3.264;116600;1.273;281.4;15920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|66;3.120;3.107;20.00;0.02483;0.2108;0.03378;8.488;134100;1.454;284.7;16100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|67;3.166;3.153;20.00;0.02460;0.2330;0.03729;9.474;157000;1.466;367.8;20800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|68;3.213;3.200;20.00;0.01116;0.2618;0.04170;23.45;176800;1.528;463.4;26210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|69;3.261;3.248;20.00;0.006300;0.2874;0.04575;45.62;200000;1.549;574.9;32520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|70;3.309;3.295;20.00;0.03336;0.3361;0.05375;10.08;215900;1.472;729.3;41250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
